原始指標名稱,映射後指標名稱,相似度,片段內容
G-1-1_1,Q1,0.8691665095204517,"人壽、銀行、證券、投信、創投、保代等子公司
就其產業性質及業務範圍，辨識各自之氣候風險與機會，負責第一線氣候風險控
管，並將氣候議題納入相關之營運活動，定期報告氣候指標及目標達成情形以及績效提升計畫。定期檢視 督導改善組織 主席/召集人 開會頻率 氣候治理角色
推動及落實執行氣候風險管理之"
G-1-1_1,Q1,0.8570847992934401,"附錄 氣候治理與策略 目錄 導言 氣候相關風險與機會 實踐低碳金融 情境分析與財務衝擊 結語
05氣候治理與策略02
2-1氣候治理架構 
新光金控建構完整的氣候治理架構，董事會為集團氣候風險治理最高決策單位，
轄下設有董事會層級之功能性委員會－企業永續經營委員會負責監督集團氣候相關策略推動及風險機會，其中企業永續經營委員會均為董事組成。
為落實執行氣候風險治理業務，新光金控企業永續經營委員會下設有企業永續經"
G-1-1_1,Q1,0.8565127190451775,"
核心單位，檢視氣候風險評估分析專案執行結果，呈報審計委員會與董事會，並形成金控集團整體氣候風險控管措施每季 金控總經理 風險管理委員會推動及落實執行企業永續經營策略之核心單位，呈報永續經營委員會與董事會至少每年一次，現行每年兩次金控總經理 企業永續經營管理委員會隸屬董事會，監督集團整體風險控管的有效性每季 董事長提名後經董事會決議之董事或獨立董事審計委員會隸屬董事會，為制定集團永續推動及氣候風險策略核心，督導集團氣候變遷減緩與調適，以及氣候相關目標執行情形至少每年一次，現行每年兩次董事長提名後經董事會決議之董事或獨立董事企業永續經營委員會氣候風險治理最高決策單位，負氣候風險治理之最終責任至少每年一次，現行每年兩次董事長 董事會"
G-1-1_1,Q1,0.8489371496634202,"附錄 氣候治理與策略 目錄 導言 氣候相關風險與機會 實踐低碳金融 情境分析與財務衝擊 結語
093-2辨識集團氣候相關風險與機會來源
為擬定集團氣候策略，新光金控已與子公司達成短、中、長期影響
時序之充分共識，並蒐研國內外氣候相關文獻與報告，建立氣候風險議題庫，依照新光金控集團業務型態製作氣候風險與機會問卷，透過內部專家法調查新光金控與永續發展、風險管理、能資源管   理、投資、客戶關係相關部門之意見。氣候風險矩陣"
G-1-1_1,Q1,0.8434030893298337,"附錄 氣候治理與策略 目錄 導言 氣候相關風險與機會 實踐低碳金融 情境分析與財務衝擊 結語
062-2相關辦法運作情形
新光金控已將氣候風險管理與執行方針納入「永續金融政策」及「風險管理政策」，持續精進金融業各項風險管理面向與氣候變遷風險相互之影響，更新修訂集
團永續金融政策及各項風險管理辦法，並訂定權責單位、風險辨識、風險衡量及監督控管機制，以強化氣候相關風險管理。
對於高碳排之產業，如煤炭及非典型石油與天然氣等，應審慎檢視交易對手因氣候變遷所產生負
面影響，針對上述產業經檢視凡列入排除名單者，於未進行任何改善前，皆不得再新增交易往來，並確立2045年零煤投融資目標。"
G-1-1_1,Q1,0.8419178976085825,"為落實執行氣候風險治理業務，新光金控企業永續經營委員會下設有企業永續經
營管理委員會，與風險管理委員會共同評估氣候相關風險與機會、研擬集團整體之氣候風險管理，並由永續發展部及風險管理部共同落實推動，透過各子公司積極參與，推動面向得涵蓋所有可能面臨氣候風險之各項業務，以期透過定期評估來控管氣候風險的潛在衝擊以維護股東價值，其架構如下：
董事會
永續發展部/風險管理部永續經營管理委員會 總經理 風險管理委員會企業永續經營委員會 審計委員會
人壽、銀行、證券、投信、創投、保代等子公司
就其產業性質及業務範圍，辨識各自之氣候風險與機會，負責第一線氣候風險控"
G-1-1_1,Q1,0.8383666681300808,"附錄 氣候治理與策略 目錄 導言 氣候相關風險與機會 實踐低碳金融 情境分析與財務衝擊 結語
30為降低氣候因子對元富投資收益之衝擊，定
期藉由使用氣候相關情境來評估轉型風險，以反應未來氣候變遷對被投資公司營運曝險情況，並進行潛在損失分析，進而可展開相關氣候風險管理作為或因應措施。本公司轉型風險情境分析流程如下：元富證券-轉型風險情境分析"
G-1-1_1,Q1,0.8361181330052712,"附錄 氣候治理與策略 目錄 導言 氣候相關風險與機會 實踐低碳金融 情境分析與財務衝擊 結語
08氣候相關風險與機會03
國際清算銀行（Bank for International Settlements, 
BIS）的《綠天鵝報告》（The Green Swan）指出，氣候衝擊將造成下一個系統性金融風險。國際貨幣基金組織（International Monetary Fund, IMF）甚至表示，氣候變遷對金融體系的穩定性構成嚴重風險，氣候危機絕對會引發金融危機。因此，預測氣候變遷對金融業整體的衝擊與風險，並有效洞察可能的各項金融風險，對於金控集團調整風險控管與營運的策略相當重要。"
G-1-1_1,Q1,0.8352919283339121,"附錄 氣候治理與策略 目錄 導言 氣候相關風險與機會 實踐低碳金融 情境分析與財務衝擊 結語
10氣候相關風險說明
實體風險
發生時間 / 風險事件描述 財務衝擊 / 因應策略
短期
立即性風險：
因氣候變遷導致極端氣候事件遽增，恐對上游供應商、公司營運據點以及投融資標的據
點帶來災害衝擊，造成房舍、設備、營運資產及擔保品損害，甚至導致營運中斷。營收獲利減少 / 營運成本增加 / 資產價值降低
針對極端氣候事件導致設備受損，部份設備改轉租賃模式以轉嫁財損風險。"
G-1-1_1,Q1,0.8336096474123119,"附錄 氣候治理與策略 目錄 導言 氣候相關風險與機會 實踐低碳金融 情境分析與財務衝擊 結語
12氣候相關機會說明
資源效率
財務效益 / 因應策略
營運成本減少 / 營收增加
盤點內部作業流程節點以進
行無紙優化，自有營運據點設備更新，使營運活動能資源使用效率提升。
未來新建案皆取得銀級以上
綠建築證書為目標，提升建築物環境永續效能。持續活化舊建築物與設備，導入各項節能措施，改善既有建築物能源效率。發生時間 / 機會描述
短期
成本優化機會：
提高產品服務數位化
比重、推行內部文書流程無紙化，盤點內部營運據點設備，提高節能設備使用可望帶來營運成本減少效益。
打造永續綠建築以達成"
