原始指標名稱,映射後指標名稱,相似度,片段內容
G-1-1_1,Q1,0.8691665095204517,"人壽、銀行、證券、投信、創投、保代等子公司
就其產業性質及業務範圍，辨識各自之氣候風險與機會，負責第一線氣候風險控
管，並將氣候議題納入相關之營運活動，定期報告氣候指標及目標達成情形以及績效提升計畫。定期檢視 督導改善組織 主席/召集人 開會頻率 氣候治理角色
推動及落實執行氣候風險管理之"
G-1-1_2,Q2,0.8647552833780439,"人壽、銀行、證券、投信、創投、保代等子公司
就其產業性質及業務範圍，辨識各自之氣候風險與機會，負責第一線氣候風險控
管，並將氣候議題納入相關之營運活動，定期報告氣候指標及目標達成情形以及績效提升計畫。定期檢視 督導改善組織 主席/召集人 開會頻率 氣候治理角色
推動及落實執行氣候風險管理之"
G-1-2_3,Q3,0.8777916513339636,"人壽、銀行、證券、投信、創投、保代等子公司
就其產業性質及業務範圍，辨識各自之氣候風險與機會，負責第一線氣候風險控
管，並將氣候議題納入相關之營運活動，定期報告氣候指標及目標達成情形以及績效提升計畫。定期檢視 督導改善組織 主席/召集人 開會頻率 氣候治理角色
推動及落實執行氣候風險管理之"
G-1-2_3,Q3,0.872642686755221,"附錄 氣候治理與策略 目錄 導言 氣候相關風險與機會 實踐低碳金融 情境分析與財務衝擊 結語
05氣候治理與策略02
2-1氣候治理架構 
新光金控建構完整的氣候治理架構，董事會為集團氣候風險治理最高決策單位，
轄下設有董事會層級之功能性委員會－企業永續經營委員會負責監督集團氣候相關策略推動及風險機會，其中企業永續經營委員會均為董事組成。
為落實執行氣候風險治理業務，新光金控企業永續經營委員會下設有企業永續經"
G-1-2_3,Q3,0.8627661312524358,"
核心單位，檢視氣候風險評估分析專案執行結果，呈報審計委員會與董事會，並形成金控集團整體氣候風險控管措施每季 金控總經理 風險管理委員會推動及落實執行企業永續經營策略之核心單位，呈報永續經營委員會與董事會至少每年一次，現行每年兩次金控總經理 企業永續經營管理委員會隸屬董事會，監督集團整體風險控管的有效性每季 董事長提名後經董事會決議之董事或獨立董事審計委員會隸屬董事會，為制定集團永續推動及氣候風險策略核心，督導集團氣候變遷減緩與調適，以及氣候相關目標執行情形至少每年一次，現行每年兩次董事長提名後經董事會決議之董事或獨立董事企業永續經營委員會氣候風險治理最高決策單位，負氣候風險治理之最終責任至少每年一次，現行每年兩次董事長 董事會"
G-1-2_3,Q3,0.8623547990843937,"附錄 氣候治理與策略 目錄 導言 氣候相關風險與機會 實踐低碳金融 情境分析與財務衝擊 結語
093-2辨識集團氣候相關風險與機會來源
為擬定集團氣候策略，新光金控已與子公司達成短、中、長期影響
時序之充分共識，並蒐研國內外氣候相關文獻與報告，建立氣候風險議題庫，依照新光金控集團業務型態製作氣候風險與機會問卷，透過內部專家法調查新光金控與永續發展、風險管理、能資源管   理、投資、客戶關係相關部門之意見。氣候風險矩陣"
G-1-2_4,Q4,0.867671202555558,"人壽、銀行、證券、投信、創投、保代等子公司
就其產業性質及業務範圍，辨識各自之氣候風險與機會，負責第一線氣候風險控
管，並將氣候議題納入相關之營運活動，定期報告氣候指標及目標達成情形以及績效提升計畫。定期檢視 督導改善組織 主席/召集人 開會頻率 氣候治理角色
推動及落實執行氣候風險管理之"
G-1-2_4,Q4,0.8603504319464733,"附錄 氣候治理與策略 目錄 導言 氣候相關風險與機會 實踐低碳金融 情境分析與財務衝擊 結語
05氣候治理與策略02
2-1氣候治理架構 
新光金控建構完整的氣候治理架構，董事會為集團氣候風險治理最高決策單位，
轄下設有董事會層級之功能性委員會－企業永續經營委員會負責監督集團氣候相關策略推動及風險機會，其中企業永續經營委員會均為董事組成。
為落實執行氣候風險治理業務，新光金控企業永續經營委員會下設有企業永續經"
G-1-3_5,Q5,0.8696462776337633,"人壽、銀行、證券、投信、創投、保代等子公司
就其產業性質及業務範圍，辨識各自之氣候風險與機會，負責第一線氣候風險控
管，並將氣候議題納入相關之營運活動，定期報告氣候指標及目標達成情形以及績效提升計畫。定期檢視 督導改善組織 主席/召集人 開會頻率 氣候治理角色
推動及落實執行氣候風險管理之"
S-1-2_17,Q17,0.8726809771670933,"附錄 氣候治理與策略 目錄 導言 氣候相關風險與機會 實踐低碳金融 情境分析與財務衝擊 結語
10氣候相關風險說明
實體風險
發生時間 / 風險事件描述 財務衝擊 / 因應策略
短期
立即性風險：
因氣候變遷導致極端氣候事件遽增，恐對上游供應商、公司營運據點以及投融資標的據
點帶來災害衝擊，造成房舍、設備、營運資產及擔保品損害，甚至導致營運中斷。營收獲利減少 / 營運成本增加 / 資產價值降低
針對極端氣候事件導致設備受損，部份設備改轉租賃模式以轉嫁財損風險。"
S-1-2_17,Q17,0.8663995689157115,"經問卷調查結果分析得出集團十二項氣候風險議題（四項實體風險與八項轉型風險)及四項氣候機會議題，並根據風險議題依序進行商業活動連結，依「發生可能性」與「影響程度」進行量化並排序，針對重大項目分析各氣候風險因子對集團各類業務之影響層面與衝擊程度，相關質量化說明如下：短期
2023-2025中期
2025-2028長期
2028-2031
 低 高高
影響程度發
生可能性21
3
64
57
98
10
11
12
1全球暖化影響，使我國用電需求迅速增
加，造成無預警斷電
2若未採取積極永續作為，恐使新光集團
喪失投資人青睞
3因應政策加嚴或全球零碳排趨勢，高碳
排放產業投資效益受影響"
S-1-2_17,Q17,0.8600675528359802,"附錄 氣候治理與策略 目錄 導言 氣候相關風險與機會 實踐低碳金融 情境分析與財務衝擊 結語
11轉型風險 中長期
發生時間 / 風險事件描述 財務衝擊 / 因應策略
中期
名譽風險：
全球積極朝向永續發展為目
標，若公司未採取積極永續作為，恐影響公司商譽，使新光集團喪失投資人、客戶及消費者等利害關係人青睞。營收獲利減少 / 投資人資金挹注減少
公司依循全球永續趨勢積極投入永續行動，於既有風險政策中納入氣候風險管理，透過修正投資、融資及不動產等相關規範，積極響應永續金融。
積極參與國際永續相關倡議及聯盟及國際/
國內永續評比，藉以提升利害關係人對公司信任，並掌握國內外永續及氣候變遷資訊。
長期"
S-1-2_18,Q18,0.8675008028470284,"經問卷調查結果分析得出集團十二項氣候風險議題（四項實體風險與八項轉型風險)及四項氣候機會議題，並根據風險議題依序進行商業活動連結，依「發生可能性」與「影響程度」進行量化並排序，針對重大項目分析各氣候風險因子對集團各類業務之影響層面與衝擊程度，相關質量化說明如下：短期
2023-2025中期
2025-2028長期
2028-2031
 低 高高
影響程度發
生可能性21
3
64
57
98
10
11
12
1全球暖化影響，使我國用電需求迅速增
加，造成無預警斷電
2若未採取積極永續作為，恐使新光集團
喪失投資人青睞
3因應政策加嚴或全球零碳排趨勢，高碳
排放產業投資效益受影響"
S-1-2_18,Q18,0.866226124097377,"附錄 氣候治理與策略 目錄 導言 氣候相關風險與機會 實踐低碳金融 情境分析與財務衝擊 結語
11轉型風險 中長期
發生時間 / 風險事件描述 財務衝擊 / 因應策略
中期
名譽風險：
全球積極朝向永續發展為目
標，若公司未採取積極永續作為，恐影響公司商譽，使新光集團喪失投資人、客戶及消費者等利害關係人青睞。營收獲利減少 / 投資人資金挹注減少
公司依循全球永續趨勢積極投入永續行動，於既有風險政策中納入氣候風險管理，透過修正投資、融資及不動產等相關規範，積極響應永續金融。
積極參與國際永續相關倡議及聯盟及國際/
國內永續評比，藉以提升利害關係人對公司信任，並掌握國內外永續及氣候變遷資訊。
長期"
S-1-2_18,Q18,0.8661580674737441,"附錄 氣候治理與策略 目錄 導言 氣候相關風險與機會 實踐低碳金融 情境分析與財務衝擊 結語
10氣候相關風險說明
實體風險
發生時間 / 風險事件描述 財務衝擊 / 因應策略
短期
立即性風險：
因氣候變遷導致極端氣候事件遽增，恐對上游供應商、公司營運據點以及投融資標的據
點帶來災害衝擊，造成房舍、設備、營運資產及擔保品損害，甚至導致營運中斷。營收獲利減少 / 營運成本增加 / 資產價值降低
針對極端氣候事件導致設備受損，部份設備改轉租賃模式以轉嫁財損風險。"
S-1-2_19,Q19,0.8717655897642851,"附錄 氣候治理與策略 目錄 導言 氣候相關風險與機會 實踐低碳金融 情境分析與財務衝擊 結語
10氣候相關風險說明
實體風險
發生時間 / 風險事件描述 財務衝擊 / 因應策略
短期
立即性風險：
因氣候變遷導致極端氣候事件遽增，恐對上游供應商、公司營運據點以及投融資標的據
點帶來災害衝擊，造成房舍、設備、營運資產及擔保品損害，甚至導致營運中斷。營收獲利減少 / 營運成本增加 / 資產價值降低
針對極端氣候事件導致設備受損，部份設備改轉租賃模式以轉嫁財損風險。"
S-1-2_19,Q19,0.8701976743161193,"附錄 氣候治理與策略 目錄 導言 氣候相關風險與機會 實踐低碳金融 情境分析與財務衝擊 結語
11轉型風險 中長期
發生時間 / 風險事件描述 財務衝擊 / 因應策略
中期
名譽風險：
全球積極朝向永續發展為目
標，若公司未採取積極永續作為，恐影響公司商譽，使新光集團喪失投資人、客戶及消費者等利害關係人青睞。營收獲利減少 / 投資人資金挹注減少
公司依循全球永續趨勢積極投入永續行動，於既有風險政策中納入氣候風險管理，透過修正投資、融資及不動產等相關規範，積極響應永續金融。
積極參與國際永續相關倡議及聯盟及國際/
國內永續評比，藉以提升利害關係人對公司信任，並掌握國內外永續及氣候變遷資訊。
長期"
S-1-2_19,Q19,0.8687303107117882,"經問卷調查結果分析得出集團十二項氣候風險議題（四項實體風險與八項轉型風險)及四項氣候機會議題，並根據風險議題依序進行商業活動連結，依「發生可能性」與「影響程度」進行量化並排序，針對重大項目分析各氣候風險因子對集團各類業務之影響層面與衝擊程度，相關質量化說明如下：短期
2023-2025中期
2025-2028長期
2028-2031
 低 高高
影響程度發
生可能性21
3
64
57
98
10
11
12
1全球暖化影響，使我國用電需求迅速增
加，造成無預警斷電
2若未採取積極永續作為，恐使新光集團
喪失投資人青睞
3因應政策加嚴或全球零碳排趨勢，高碳
排放產業投資效益受影響"
S-2-3_32,Q32,0.8798229608447946,"經問卷調查結果分析得出集團十二項氣候風險議題（四項實體風險與八項轉型風險)及四項氣候機會議題，並根據風險議題依序進行商業活動連結，依「發生可能性」與「影響程度」進行量化並排序，針對重大項目分析各氣候風險因子對集團各類業務之影響層面與衝擊程度，相關質量化說明如下：短期
2023-2025中期
2025-2028長期
2028-2031
 低 高高
影響程度發
生可能性21
3
64
57
98
10
11
12
1全球暖化影響，使我國用電需求迅速增
加，造成無預警斷電
2若未採取積極永續作為，恐使新光集團
喪失投資人青睞
3因應政策加嚴或全球零碳排趨勢，高碳
排放產業投資效益受影響"
S-2-3_32,Q32,0.877948922299182,"附錄 氣候治理與策略 目錄 導言 氣候相關風險與機會 實踐低碳金融 情境分析與財務衝擊 結語
10氣候相關風險說明
實體風險
發生時間 / 風險事件描述 財務衝擊 / 因應策略
短期
立即性風險：
因氣候變遷導致極端氣候事件遽增，恐對上游供應商、公司營運據點以及投融資標的據
點帶來災害衝擊，造成房舍、設備、營運資產及擔保品損害，甚至導致營運中斷。營收獲利減少 / 營運成本增加 / 資產價值降低
針對極端氣候事件導致設備受損，部份設備改轉租賃模式以轉嫁財損風險。"
